Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
Shumla Internship program,Shumla Archaeological Research ,Internship program for high school and college students in the summer months.,Available and active in Texas,"Outdoor Learning, STEM","Directly Teaching Students, Field Trips, Internships",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Summer,High School <9-12>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Not applicable,No (skip the next question),,Yes,4,4,3,,Region 15 – San Angelo,44146.46205
Shumla Scholars Program,Shumla Archaeological Research ,High school STEM partnership with Comstock ISD to teach students about archaeology and archaeological science in the conservation of ancient rock paintings as well as ancient lifeways.,Available and active in Texas,"Outdoor Learning, STEM","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,High School <9-12>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Multiple times a week,No (skip the next question),,Yes,8,7,1,1,Region 15 – San Angelo,44146.46143
SMART Saturday,Dallas Public Library,"Each week a program is presented featuring one of the SMART objectives with SMART standing for Science, Math, Art, Reading and Technology. Programs are presented by staff and/or outside organization. For ages 6 to 11.",Available and active in Texas,STEM,Directly Teaching Students,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,Yes,,This program was developed specifically in response to COVID-19 as it is a virtual only program.,Virtual,Weekends,Elementary School <K-5>,Do Not Evaluate,Once a week,Not applicable,No (skip the next question),,No (skip the next question),,0,0,0,Region 10 – Richardson,44092.4933
Social and Emotional Literacy,Green Schools National Network,"Designed for both students and adults, program support focuses on systems and structures that strengthen social and emotional literacy. Recognizing that intentional practice related to SEL competencies is correlated to significant growth, the GSNN program is comprehensive and takes into account all aspects of the school day.",Available and active in Texas,Other,"Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,,,"On School Campus, Virtual",During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Daily,Daily,No (skip the next question),,No (skip the next question),425,400,1,25,"Region 11 – Fort Worth, Region 12 – Waco, Region 13 – Austin, Region 20 – San Antonio",44106.58661
Solar System Odyssey,The Robert Wollman Planetarium at King High School,The Planetarium Dome video provides a futuristic journey through our Solar System. Astronauts are sent on a mission to discover a new home to colonize because Earth's resources are being depleted. The program ends with the push for conserving what we have on Earth because there is no place like Earth. ,"Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Energy, Waste, Water","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,"No, but it is available to rural communities","Both public and private schools, as well as home school groups and the public  visit the planetarium throughout the year. All visits have a teaching part, a video viewing, and a simulation (teacher led) of the night sky. ",Yes,,We are located in a school building and will reopen when the school building is open to the public. We will abide by all socially distancing recommendations and limit the number of visitors.,On School Campus,"During School Day, After School &/or Evenings, Summer","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Other [Upon request],Other [Upon request],Yes (please list them below),TEKS,Yes,100,90,3,10,Region 2 – Corpus Christi,44104.59964
South Austin Internship,Urban Roots,"The South Austin Internship is a new paid internship designed for high school students living in South Austin to lay the groundwork for the second Urban Roots farm site. Interns will build relationships with South Austin residents, where the second farm will be located, through various events and will explore ideas about how the new farm site will serve community needs.",Available and active in Texas,Food Systems/Nutrition,"Directly Teaching Students, Internships","No, this is not a focus in our outreach or programming.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,"After School &/or Evenings, Weekends",High School <9-12>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Not applicable,No (skip the next question),,Yes,,14,,,Region 13 – Austin,44146.44893
Special Request Ranger Programs,City of Austin - Parks and Recreation,"Rangers offer programs by special request. Programs include: caving, rock climbing, hiking, touch tables, archery, Leave No Trace.","Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Outdoor Learning, STEM, Water, Workforce Development",Field Trips,"Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,Spanish,These programs have been on hold since March 2020,Off campus,"After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Once a month,Once a month,No (skip the next question),,Yes,150,150,,,Region 13 – Austin,44098.79225
SPLASh - Stopping Plastic and Litter Along Shorelines,American Bird Conservancy,"We envision a Texas coast where local communities and natural resource managers are working together to reduce coastal trash pollution. One way we aim to achieve this is by engaging local students in educational programs that introduce them to their local ecosystems and species, and the threats posed by trash pollution.",Available and active in Texas,"Conservation (Wildlife/Habitat), Waste","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,"This program is focused on the counties directly surrounding Galveston Bay. Since we are in our first year, we are keeping it relatively small for now, but hopefully we can expand going forward!",Yes,,Adapted to provide virtual/online educational programming as opposed to in-person.,"On School Campus, Off campus, Virtual","During School Day, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Not applicable,Not applicable,Yes (please list them below),,Yes,0,0,0,0,Region 4 – Houston,44105.48766
Spread the Harvest,Sustainable Food Center,"Spread the Harvest seeks to reduce financial barriers to food gardening by providing Central Texas residents and schools with free gardening resources. We provide free seeds year-round and free plants & compost at twice-yearly giveaway days for school gardens, service providers, and home gardeners.",Available and active in Texas,Food Systems/Nutrition,Other [Garden Materials],"Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,"Spanish, interpretation regularly available for Arabic, Burmese, and Nepali participants","Seeds are available year-round by mail to program participants. Fall 2020 Resource Giveaway Days were adapted in response to COVID-19: pre-orders were required to enable a no-contact resource pickup, a format that may continue if needed in future planting seasons.",Off campus,"During School Day, After School &/or Evenings",Teachers/Administrators,Post-Program Survey Only,Varies,Twice a year,No (skip the next question),,Yes,36916,,232,,Region 13 – Austin,44098.4245
Spring Lake Education,The Meadows Center for Water and the Environment,"The Meadow Center's outdoor learning programs engage people of all ages, teaching them about Spring Lake and the importance of water to all living things. We inspire visitors to become stewards of our natural resources through environmental education programs",Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Outdoor Learning, STEM, Water","Curriculum & Instructional Materials, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",0-25%,"No, but it is available to rural communities",,Yes,,"Yes, we closed on March 12, 2020. We were able to reopen on Sept. 11, 2020 but only for public glass bottom boat tours. We are hoping to have field trips in the spring. Glass-Bottom Boat Tours are by reservations only. We are operating at limited capacity and all guest are required to wear a face mask at all time.",Off campus,"During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Pre/Post-Program Survey,Daily,Daily,Yes (please list them below),TEKS,Yes,9000,8300,103,700,All Regions,44125.69886
START: Sustainability Tracking And Roadmap Tool,Green Schools Alliance,"A digital platform to help schools methodically create healthier, more sustainable environments through their Educational Programs, Organizational Culture and Physical Place. START enables schools to track and analyze their current levels of sustainability, provides guidance and connects them with other schools so they can share best practices.",Available and active in Texas,"Air Quality, Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, Transportation, Waste, Water","Curriculum & Instructional Materials, Professional Development for Teachers, Supporting Networks (Online/In-Person), Other [Data Collection & Analytics]","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,"We have postponed the official launch of START to allow schools to fully focus on the difficult task of reopening during a pandemic. However, while START has not officially launched, we are allowing schools to onboard if they feel ready and able to begin or accelerate their journey to Whole School Sustainability.",On School Campus,"During School Day, After School &/or Evenings","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a week,Once a week,Yes (please list them below),,Yes,0,0,0,0,All Regions,44106.62805
Starting Out Wild,Phil Hardberger Park Conservancy,"Environmental education program serve toddlers with the parents and are offered one hour a month, nine times a year.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water","Classroom Volunteers/Presenters, Directly Teaching Students",We do not track Title I and/or low socioeconomic status students.,0-25%,No,,Yes,,Lessons are now offered online through prerecorded video that are posted on the Conservancy's website.,"Virtual, At Phil Hardberger Park",During School Day,Community/Family,Pre/Post-Program Survey,Once a month,Once a year,No (skip the next question),,No (skip the next question),,405,1,25,Region 20 – San Antonio,44105.31212
STEM Enhancement in Earth Science Summer High School Intern Program,UT Austin - Center for Space Research,"Competitive STEM program for high school students that provides selected students with exposure to Earth and space research. Interns learn how to interpret NASA satellite data while working with scientists and engineers at UT/CSR conducting NASA supported research on astronomy, remote sensing, and space geodetic techniques.",Available and active in Texas,"STEM, Other [Space, Earth Systems, Climate]","Directly Teaching Students, Supporting Networks (Online/In-Person), Internships","Yes, this is our core beneficiary and strategic priority.",26-50%,Yes,,Yes,,The program was restructured to a virtual internship for 2020 with the same core concepts.,"On School Campus, Off campus, Virtual",Summer,High School <9-12>,"Pre/Post-Program Survey, External Evaluation Partner, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a month,Multiple times a month,Yes (please list them below),,Yes,333,333,330,4,All Regions,44119.63321
Student Conservation Corps & Congress (SC3),Green Schools Alliance,"Student Conservation Corps & Congress is a week long leadership training program, usually held annually, in which participants spend a week learning from world-renowned experts as well as studying and discussing environmental, social, and economic interconnections to address natural resource conservation challenges.",Unavailable in Texas,"Conservation (Wildlife/Habitat), STEM, Workforce Development","Directly Teaching Students, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,No,,No,,SC3 did not run this year.,Off campus,Summer,High School <9-12>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,No (skip the next question),,No (skip the next question),0,0,0,0,All Regions,44106.64548
Student Prairie Program,Native Prairies Association of Texas,"Interactive classroom on the history of our coastal prairie, the story of Deer Park Prairie, the ecology of prairies, their relationship to flood mitigation and water quality; and the importance of preserving our native wildlife and pollinators. ",Available and active in Texas,"Conservation (Wildlife/Habitat), STEM","Classroom Volunteers/Presenters, Directly Teaching Students, Field Trips, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,No,,No,,"We have produced a series of prairie education videos, available on our YouTube channel and website.","On School Campus, Off campus, Virtual",During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators",Do Not Evaluate,Once a year,Once a year,Yes (please list them below),TEKS,Yes,1320,836,24,198,Region 4 – Houston,44089.72621
Student Resilience Ambassadors,National Wildlife Federation,"SRA engages students in resilience education. Students study their watershed, apply critical thinking skills to investigate storm resilience problems facing Houston, determine the impact of those issues on water quality, and create nature - based solutions on their campus that help mitigate flooding and can be replicated in their community.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water, Other [Resilience, Climate Change]","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Field Trips, Grant Funding, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,No,,Yes,,"Our professional development is virtual, our first of 2 community action days will be virtual through a video recording, our final projects may be table top models as opposed to in the ground solutions.","On School Campus, Virtual","During School Day, Weekends","Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Multiple times a week,Multiple times a week,Yes (please list them below),Science TEKS,Yes,,358,5,21,Region 4 – Houston,44103.69358
Students in Action,Galveston Bay Foundation,"Hands-on service-learning events at various sites around the Bay. Students participate in planting marsh grass, creating oyster reef, picking up trash along the Bay shoreline, or microplastic (nurdle) collection while gaining knowledge about environmental stewardship, environmental careers, and Galveston Bay habitats.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Waste, Workforce Development","Directly Teaching Students, Field Trips, Grant Funding","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Post-Program Survey Only,Once a year,Once a year,Yes (please list them below),TEKS,Yes,250,233,4,17,Region 4 – Houston,44146.46723
Summer Camp,Austin Nature & Science Center,"Nature-Based Summer Day Camp that includes outdoor adventure sports, swimming and nature exploration. Available for children ages 4-17.","Available in Texas, but not currently active","Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Transportation, Waste, Water, Workforce Development",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",Do not track,Yes,,Yes,,,Off campus,Summer,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Post-Program Survey Only,Multiple times a week,Not applicable,No (skip the next question),,Yes,1260,,,,Region 13 – Austin,44106.73726
Summer Camp,Sea Center Texas [TPWD],"Keep your kids active and learning this summer with Sea Center’s fun and educational summer camp series. On select Fridays throughout June, July, and August, campers take part in marine science experiments, squid dissections, wetland bug collections, behind-the-scenes tours, and so much more! Inquire for dates and registration fees. ","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning","Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,"In 2020, we offered a free, online version.","Off campus, On-site at Sea Center Texas",Summer,Elementary School <K-5>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,Yes (please list them below),TEKS,Yes,,,,,Region 4 – Houston,44119.64863
Summer Camps,Earth Native Wilderness School,"Our outdoor nature camps get kids outside exploring, connecting, and learning old school style. Earth Native taps into innate child's passions to inspire learning and outdoor play that leads to adventure and deep longterm connections to the outdoors.",Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning",Directly Teaching Students,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",We have students who participate who live in rural communities.,Yes,,Unfortunately we had to cancel summer day camps in summer 2020 which is reflected in the low number of students students involved (we ran overnight camps). We were on track to engage 1000 children in the summer.,Off campus,Summer,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Daily,Not applicable,No (skip the next question),,Yes,,75,0,0,Region 13 – Austin,44091.68045
Summer Camps,River Legacy Living Science Center,"Hands-on, minds-on nature-loving discovery and exploration adventures.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water",Directly Teaching Students,We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,Yes,,Only offered online classes this past summer,Virtual,"During School Day, Summer","Elementary School <K-5>, Middle School <6-8>",Post-Program Survey Only,Varies,Multiple times a month,No (skip the next question),TEKS,No (skip the next question),0,0,0,0,All Regions,44106.70731
Summer Survival Series,Edinburg Scenic Wetlands and World Birding Center,"The series is once a week for 3 weeks and the last day would be a survival challenge based on what the participants learned in the prior programs. The storyline of the series is a make believe story and the participants would learn basic survival skills such as fire building, plant ID, knot tying, how to cook over open fire, water filtration etc.","Available in Texas, but not currently active",Outdoor Learning,"Classroom Volunteers/Presenters, Family Programing","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Off campus,"After School &/or Evenings, Summer",Community/Family,"Qualitative/Informal (Focus Groups, Interviews, Testimonies), Do Not Evaluate",Once a week,Not applicable,No (skip the next question),,No (skip the next question),32,21,0,11,All Regions,44105.48952
Sustainability in Your School/Community,William R. Sinkin Eco Centro,"Sustainability, natural resource conservation, and green infrastructure experts visit pre-k through college/homeschool/informal students. Customizable activities include project-based and experiential learning: general sustainability, sustainable development, natural resource conservation, ecology, STEM, green building, food production. ",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Waste, Water, Workforce Development","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,As much content as possible has been adapted to a virtual platform,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Community/Family",Post-Program Survey Only,Varies,Once a year,Yes (please list them below),TEKS,Yes,150,150,6,,Region 20 – San Antonio,44103.49051
Sustainable Intelligence,EcoRise,"Sustainable Intelligence includes over 200 robust K-12 lessons, online and in-person training, year-round support, and access to micro-grants for student-led projects. Lessons are available in English and Spanish and are standards-aligned across seven eco-themes, including energy, waste, food, water, public spaces, air quality, and transportation.",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Transportation, Waste, Water, Workforce Development","Curriculum & Instructional Materials, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,Yes,"We have scholarships to serve teachers in rural communities and provide curricula, training and classroom grants.",Yes,Spanish,We provide blended-learning curricula and training online and have built special pathways emphasizing outdoor learning and indoor air quality. We also provide teacher PD that is focused specifically on remote learning methodology.,On School Campus,"During School Day, After School &/or Evenings","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, External Evaluation Partner, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Varies,Multiple times a month,Yes (please list them below),"TEKS, NGSS, Common Core",Yes,84702,83216,407,1486,All Regions,44098.54569
Take Care of Texas 6-12 Video Contest,Take Care of Texas,The Take Care of Texas Video Contest is a fun way for young people to learn about protecting the environment and come up with creative ways to share this knowledge with others! Students film a 30-second video that shows positive ways to Take Care of Texas. The students that submit the best videos can win great prizes.,Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, STEM, Waste, Water",Other [Student Contest],"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",Rural conservation is just as important as urban conservation when it comes to environmental action.,Yes,,,"On School Campus, Off campus, Virtual","After School &/or Evenings, Weekends","Middle School <6-8>, High School <9-12>, Teachers/Administrators","Post-Program Survey Only, Rubrics for Student Projects/Presentations",Other [Seasonal],Other [Seasonal],No (skip the next question),,Yes,100,700,500,300,All Regions,44110.69038
Take Care of Texas Kids Art Contest,Take Care of Texas,"The Take Care of Texas Kids Art Contest is a fun way for K-5 students to learn about protecting the environment and come up with creative ways to share this knowledge with others! Students submit their artwork of how they, along with their friends and family, help keep the air and water clean, and reduce waste. ","Available in Texas, but not currently active","Air Quality, Energy, Green Building, Transportation, Waste, Water","Curriculum & Instructional Materials, Directly Teaching Students","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,Spanish,,"On School Campus, Off campus","During School Day, After School &/or Evenings, Weekends",Elementary School <K-5>,Do Not Evaluate,Once a year,Once a year,No (skip the next question),,No (skip the next question),,1400,,,All Regions,44110.69581
Take Care of Texas Lessons,Take Care of Texas,"TEKS-aligned lesson plans for K-12 students that center around our three core topics: Water, Air, and Waste.",Available and active in Texas,"Air Quality, STEM, Waste, Water",Curriculum & Instructional Materials,"No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",N/A,Yes,,"Yes, lesson plans have been adapted to be more accessible for parents to facilitate - not just traditional educators.",Virtual,"During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,No (skip the next question),,,,,All Regions,44110.67711
Teacher Conservation Institute,Texas Forestry Association,The Teacher Conservation Institute is a series of multi-day professional development workshops for educators focusing on the stewardship of our natural resources. Courses are designed to showcase the benefits provided by our Texas forests while equipping teachers with resources to implement TEKS-correlated forestry education in the classroom.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM",Professional Development for Teachers,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Off campus,Summer,Teachers/Administrators,Post-Program Survey Only,Varies,Twice a year,Yes (please list them below),TEKS,No (skip the next question),,0,24,26,"Region 4 – Houston, Region 5 – Beaumont, Region 7 – Kilgore, Region 8 – Mount Pleasant, Region 10 – Richardson, Region 11 – Fort Worth, Region 13 – Austin",44097.67207
Teacher Professional Learning Program,Out Teach,"By using the outdoors as an experiential learning environment for inquiry-based instruction, Out Teach accelerates learning for students to produce long-term results.  Our personalized professional learning program empowers teachers to create real-world hands-on learning opportunities that improve Science instruction, ELA, and Math. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Outdoor Learning, STEM, Water, Workforce Development","Curriculum & Instructional Materials, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities","Out Teach provides professional development opportunities, instructional materials, and support for teachers anywhere in the U.S.",Yes,"English, Spanish",Our in-person one-on-one professional coaching program has been adapted to a virtual environment.  We have open-sourced all of our lessons and lesson plans.  We offer virtual outdoor STEM programming direct-to-student for district's after-school needs. ,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer",Elementary School <K-5>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Varies,Varies,Yes (please list them below),"NGSS, Common Core, TX, MD, DC, NC, SC, GA, FL, VA",Yes,11700,11250,18,450,"Region 10 – Richardson, Region 11 – Fort Worth, Region 13 – Austin",44104.61422
Teacher Resource Kits,Dig Together,"A series of kits that include lesson plans, supplies, and instructions on the activities. We have many kits that work alongside our kits.  Water molecule on the Move, Ground Watershed Model, and Texas in a box are a few of the kits. 
",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials","Yes, this is our core beneficiary and strategic priority.",76-100%,Yes,This program was created to provide a more local source of environmental educational materials that are usually in larger cities. ,Yes,,Items are now put though a 2 week waiting period between uses and as always cleaned between users/ ,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Varies,Varies,No (skip the next question),,No (skip the next question),100,85,1,10,"Region 3 – Victoria, Region 13 – Austin",44106.93665
Teacher Workshops and Presentations,Galveston Bay Foundation,GBF educators can lead curriculum development workshops at your school/district as well as at one of our field sites for an immersive learning experience. GBF is a certified continuing professional education (CPE) provider for the State of Texas.,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Workforce Development","Curriculum & Instructional Materials, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","No, this is not a focus in our outreach or programming.",Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,"During School Day, Summer, Weekends",Teachers/Administrators,"Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,No (skip the next question),,Yes,151,,13,151,Region 4 – Houston,44146.4657
Teachers On The Estuary (TOTE) Workshop,UT - Marine Science Institution,"Teachers explore coastal habitats and conduct field investigations, interact with local scientists and experienced coastal educators, integrate local and national monitoring data into classroom-based lessons, and engage in hands-on activities.  Designed to help 6-12 grade teachers bring STEM concepts and practices into their classroom.
",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Curriculum & Instructional Materials, Field Trips, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,TOTE Workshops are virtual for 2020-2021 academic year,"Off campus, Virtual","After School &/or Evenings, Summer",Teachers/Administrators,"Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Not applicable,Twice a year,Yes (please list them below),TEKS,Yes,30,0,24,30,All Regions,44103.38652
Texas Aquatic Science (TAS),Texas Parks and Wildlife Department (TPWD),"Texas Aquatic Science is a comprehensive aquatic science curriculum, from molecules to ecosystems, and headwaters to ocean, for middle school and high school students. The curriculum consists of an online student textbook, a teacher guide, specially produced videos, and supplementary materials.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water, Workforce Development","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,No,Spanish language glossary of terms. ,,Off campus,During School Day,"Middle School <6-8>, High School <9-12>",Do Not Evaluate,Daily,Daily,Yes (please list them below),TEKS,No (skip the next question),330000,330000,200,1500,All Regions,44098.37858
Texas Conservation Corps GulfCorps Coastal Restoration Crews,American Youthworks,"The GulfCorps Coastal Restoration Crews are based in Houston, TX, and Baton Rouge, LA.  They complete habitat restoration, boardwalk construction and repair, trail maintenance, dune stabilization, and oyster reef restoration projects in Texas and Louisiana. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Workforce Development",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",0-25%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,"During School Day, Summer","High School <9-12>, Community/Family","Post-Program Survey Only, External Evaluation Partner",Multiple times a week,Not applicable,No (skip the next question),,Yes,16,16,,,Region 4 – Houston,44146.36262
Texas Conservation Corps High School Summer Conservation Crews,American Youthworks,The Summer Youth Crew program is for high school students and recent graduates (ages 17 - 21) to spend a summer working on conservation projects in Travis and Harris County. Members work on trail improvement and habitat restoration projects with travel and camping provided. Crews build conservation skills and engaging in environmental education. ,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, Workforce Development",Directly Teaching Students,"No, this is not a focus in our outreach or programming.",0-25%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Summer,High School <9-12>,"Post-Program Survey Only, External Evaluation Partner",Multiple times a week,Not applicable,No (skip the next question),,Yes,24,24,,,"Region 4 – Houston, Region 13 – Austin",44146.35537
